ActorName,CharacterName
"Samuel L. Jackson","Nick Fury"
"Chris Hemsworth",Thor
"Natalie Portman","Jane Foster"
"Tom Hiddleston",Loki
"Stellan Skarsgard","Erik Selvig"
"Idris Elba",Heimdall
"Anthony Hopkins",Odin
"Rene Russo",Frigga
"Jeremy Renner","Clint Barton"
"Clark Gregg","Phil Coulson"
"Jaimie Alexander",Sif
